,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,JPM,4501,87.88224029541016,604442.0364303589
1,2019-01-31,BUY,TSLA,9694,20.584667205810547,404894.27253723145
2,2019-01-31,BUY,XOM,7479,54.129310607910156,61.15850067138672
3,2019-02-28,SELL,JPM,2802,88.5135498046875,248076.12505340576
4,2019-02-28,SELL,XOM,2641,60.16618347167969,406975.0156021118
5,2019-02-28,BUY,TSLA,19395,20.982667922973633,16.171236038208008
6,2019-03-06,SELL,TSLA,29089,18.43600082397461,536300.9992046356
7,2019-03-29,BUY,JPM,954,84.76795959472656,455432.3657512665
8,2019-03-29,BUY,XOM,7450,61.1276969909668,31.023168563842773
9,2019-04-30,SELL,XOM,4183,60.54475402832031,253289.7292690277
10,2019-04-30,BUY,JPM,2571,98.48648071289062,80.98735618591309
11,2019-05-31,SELL,XOM,238,55.11256790161133,13197.77851676941
12,2019-05-31,BUY,JPM,145,90.80229949951172,31.44508934020996
13,2019-06-01,SELL,XOM,7867,54.19363021850586,426372.7340183258
14,2019-01-31,SELL,JPM,1325,87.88227081298828,542816.7428455353
15,2019-01-31,BUY,TSLA,8707,20.584667205810547,363586.04548454285
16,2019-01-31,BUY,XOM,6716,54.12932205200195,53.51858329772949
17,2019-02-28,SELL,JPM,2518,88.51353454589844,222930.59856987
18,2019-02-28,SELL,XOM,2371,60.166194915771484,365584.6467151642
19,2019-02-28,BUY,TSLA,17423,20.982667922973633,3.623493194580078
20,2019-03-06,SELL,TSLA,26130,18.43600082397461,481736.3250236511
21,2019-03-29,BUY,JPM,857,84.7679672241211,409090.17711257935
22,2019-03-29,BUY,XOM,6692,61.127708435058594,23.552265167236328
23,2019-04-30,SELL,XOM,3757,60.54475021362305,227490.17881774902
24,2019-04-30,BUY,JPM,2309,98.48648834228516,84.87723541259766
25,2019-05-31,SELL,XOM,214,55.11255645751953,11878.964317321777
26,2019-05-31,BUY,JPM,130,90.80229949951172,74.6653823852539
27,2019-06-01,SELL,XOM,7066,54.193634033203125,383006.88346099854
28,2019-06-28,SELL,JPM,310,92.31200408935547,411623.60472869873
29,2019-06-28,BUY,XOM,7089,58.060791015625,30.65721893310547
30,2019-07-31,SELL,JPM,1626,98.73104858398438,160567.3422164917
31,2019-07-31,SELL,XOM,2152,57.70087432861328,284739.6237716675
32,2019-07-31,BUY,TSLA,17630,16.150667190551758,3.3612022399902344
