,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,GS,5696,175.53790283203125,136.10546875
1,2019-05-31,SELL,GS,2734,163.82952880859375,448046.0372314453
2,2019-05-31,BUY,KO,10864,41.240325927734375,11.1363525390625
3,2019-01-03,SELL,GS,2962,149.1396026611328,441762.63943481445
4,2019-01-31,SELL,KO,10864,39.72955322265625,873384.505645752
5,2019-01-31,BUY,GS,4975,175.53790283203125,83.43905639648438
6,2019-05-31,SELL,GS,2388,163.82955932617188,391308.4267272949
7,2019-05-31,BUY,KO,9488,41.240333557128906,20.141937255859375
