,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,BAC,35923,25.100053787231445,98330.76780128479
1,2019-01-31,BUY,JPM,1118,87.88226318359375,78.39756202697754
2,2019-02-28,SELL,JPM,1118,88.5135269165039,99036.52065467834
3,2019-02-28,BUY,BAC,3884,25.497234344482422,5.262460708618164
4,2019-08-16,SELL,BAC,39807,22.903976440429688,911743.8526248932
5,2019-08-30,BUY,BAC,38234,23.846309661865234,4.049013137817383
6,2019-01-04,SELL,BAC,38234,21.20595932006836,810792.6976566315
7,2019-01-31,BUY,BAC,29126,25.100053787231445,79728.5310497284
8,2019-01-31,BUY,JPM,907,87.88226318359375,19.318342208862305
9,2019-02-28,SELL,JPM,907,88.5135269165039,80301.0872554779
10,2019-02-28,BUY,BAC,3149,25.497234344482422,10.296304702758789
11,2019-08-16,SELL,BAC,32275,22.903976440429688,739236.1359195709
12,2019-08-30,BUY,BAC,31000,23.846309661865234,0.5364017486572266
